PhraseNo,Phrase,IsHateSpeech
1,"Yes, you! Baboon, baboon, baboon, baboon!",YES
2,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!",YES
3,Nuts.,YES
4,Mmm... hors doovers.,YES
5,You stink! You and your whole lousy operation stinks! I quit!,YES
6,Check out the Willie World News: I review the new tractors. They're all shite!,YES
7,"Well, Mr. Mamet, why don't you fucking learn how to fucking write a fucking script.",YES
8,"Fuck, eh? I could use that.",YES
9,"Uh, my name's Willie, and all I do is get drunk and kill squirrels with me shovel.",YES
10,"I'm gonna kill ya, boy!",YES
11,"What do I do? Patty's gonna kill me! Unless... I kill her first! I put the body in the car, I dump the car in the lake, I put a James Taylor CD in the stereo so they think it's a suicide...",YES
12,There's only one way out -- I'm committing Barbicide!,YES
13,Then... I'm not responsible for a horrible tragedy! And I didn't do anything wrong by fleeing the scene and not reporting it and killing that hobo with the big mouth. I might have imagined that last part.,YES
14,"No! We will go to ""Springfield America"" and kill this man. But first...",YES
15,"Quiet, you! Your next divine whack job is a twofer: I command you to kill Patty and Selma Bouvier.",YES
16,"Okay, Stupid Flanders, first I want you to kill that guy at the ice cream parlor who gave Homer Simpson a cone that had a little air in it.",YES
17,You made a killer out of me!,YES
18,I'm gonna kill you!,YES
19,That's because it would kill you.,YES
20,"Sure is! That's why after Homer accidentally killed Edna, I married Maude's ghost!",YES
21,"Oh, these innocent creatures are blocking my path. I could walk six paces that way... or I could kill them all right now!",YES
22,"If you see a Simpson, do not try to reason with it. Just kill it and turn in the pelt for a free soda.",YES
23,Kill him. Kill him.,YES
24,Why is he trying to kill you and why did she call you her love?,YES
25,And he was tragically killed while still in his thirties.,YES
26,He wants me to kill them!,YES
27,He wants me to kill a bunch of guys! I've got a gun! Look!,YES
28,"So Mr. Burns wanted to kill Homer's dog. Homer had no idea -- he was so innocent and chubby. 'Course now, he's just stupid and fat.",YES
29,"Oh, I just came here to pick up my daughter. But now I'm gonna kill you all!",YES
30,"I'll kill you, you son of a--",YES
31,"Look, you kill them, I get rid of them. That's always been our deal. But I do have one question: do you want the head?",YES
32,Everyone in Springfield had a reason to shoot Mr. Burns. Even us.,YES
33,Stop! Don't shoot my Dad! He's innocent. He wouldn't hurt a fly!,YES
34,"Tell me where you are now, you bastard!",YES
35,then they doubled it up on the soundtrack. Cheap bastards.,YES
36,"Don't shush me, you rich bastards!",YES
37,"Ooh, ya bastard!",YES
38,"Die, ya bastard!",YES
39,You miserable bastard.,YES
40,"He's an irritable, wall-eyed, misfit bastard! Just like Willie.",YES
41,The Challenger learned how to fight in the notorious projects of Capital City and honed his skills while serving time for aggravated assault and manslaughter in Springfield Prison.,YES
42,"Mr. Quimby, did you assault Mr. LaCoste?",YES
43,"Dad, stop! It's only assault... don't make it murder!",YES
44,"Why, what did you think I was going to do -- have you beaten to a bloody pulp?",YES
45,"No, she won't. When it comes to compliments, women are ravenous, blood-sucking monsters, always wantin' more, MORE! MORE! And if you give it to 'em, you'll get plenty back in return.",YES
46,"Shut up, you little monsters! Hello, I was wondering if you'd like to baby-sit my little angels.",YES
47,This is not the path we should be taking. Will more bloodshed end anything?,YES
48,"Spooge, balls, bloody... vaginal... belch!  You guys, don't laugh. It makes me feel insecure about my illness.",YES
49,"How about we kill them, and then rape their bodies so we can use their blood as lubricant?",YES
50,"Oh, I guess Senator McCain's gonna fly me back to Alaska now. He's got a private jet, you know? Okay, byebye then.  Bloody idiots. ",YES
51,"NO, why the hell would you keep eating something that made you crap blood?!",YES
